Complaint Id,Tax ID,CCRB Substantiated Officer Disposition,Board Discipline Recommendation,Non-APU NYPD Penalty Report Date,Officer is_APU,APU CCRB Trial Recommended Penalty,APU Trial Commissioner Recommended Penalty,APU Plea Agreed Penalty,APU Case Status,APU Closing Date,NYPD Officer Penalty
200000003,895008,Substantiated (Command Discipline),,,No,,,,,,
200000003,899750,Substantiated (Command Discipline),,,No,,,,,,
200000036,874479,Substantiated (Command Discipline),,,No,,,,,,
200000036,881479,Substantiated (Command Discipline),,,No,,,,,,
200000036,886063,Substantiated (Command Discipline),,,No,,,,,,
200000045,914998,Substantiated (Charges),,03/28/2003,No,,,,,,
200000101,883401,Substantiated (Charges),,,No,,,,,,
200000118,914270,Substantiated (Command Discipline),,,No,,,,,,
200000190,887011,Substantiated (Charges),,,No,,,,,,
200000239,911968,Substantiated (Command Discipline),,,No,,,,,,
200000254,874807,Substantiated (Command Discipline),,,No,,,,,,
200000281,917153,Substantiated (Command Discipline),,,No,,,,,,
200000292,899137,Substantiated (Charges),,,No,,,,,,
200000292,902993,Substantiated (Charges),,,No,,,,,,
200000327,893017,Substantiated (Command Discipline),,,No,,,,,,
200000387,919727,Substantiated (Instructions),,,No,,,,,,
200000491,902938,Substantiated (Charges),,,No,,,,,,
200000569,902446,Substantiated (Instructions),,,No,,,,,,
200000569,922261,Substantiated (Instructions),,,No,,,,,,
200000628,917102,Substantiated (Command Discipline),,,No,,,,,,
200000628,917585,Substantiated (Command Discipline),,,No,,,,,,
200000712,893064,Substantiated (Charges),,,No,,,,,,
200000757,889205,Substantiated (Charges),,07/28/2003,No,,,,,,Instructions
200000757,909586,Substantiated (Charges),,07/28/2003,No,,,,,,
200000798,915421,Substantiated (Charges),,,No,,,,,,
200000991,916348,Substantiated (Charges),,,No,,,,,,
200000992,897026,Substantiated (Charges),,,No,,,,,,
200001002,904901,Substantiated (Charges),,06/28/2003,No,,,,,,Vacation: 90 days
200001003,922911,Substantiated (Command Discipline),,01/28/2003,No,,,,,,
200001003,922976,Substantiated (Command Discipline),,01/28/2003,No,,,,,,
200001015,904325,Substantiated (Command Discipline),,,No,,,,,,
200001123,907091,Substantiated (Charges),,,No,,,,,,
200001196,881803,Substantiated (Charges),,,No,,,,,,
200001199,901420,Substantiated (Command Discipline),,,No,,,,,,
200001216,905449,Substantiated (Charges),,,No,,,,,,
200001262,923307,Substantiated (Charges),,,No,,,,,,
200001287,896990,Substantiated (Charges),,,No,,,,,,
200001435,908942,Substantiated (Command Discipline),,,No,,,,,,
200001435,912050,Substantiated (Command Discipline),,,No,,,,,,
200001439,907358,Substantiated (Charges),,,No,,,,,,
200001445,900186,Substantiated (Command Discipline),,,No,,,,,,
200001445,901947,Substantiated (Command Discipline),,,No,,,,,,
200001480,908261,Substantiated (Command Discipline),,,No,,,,,,
200001542,884152,Substantiated (Command Discipline),,,No,,,,,,
200001560,879878,Substantiated (Charges),,,No,,,,,,
200001560,901607,Substantiated (Charges),,,No,,,,,,
200001655,911310,Substantiated (Charges),,,No,,,,,,
200001655,911652,Substantiated (Charges),,,No,,,,,,
200001668,887988,Substantiated (Instructions),,,No,,,,,,
200001691,921305,Substantiated (Instructions),,,No,,,,,,
200001865,910189,Substantiated (Charges),,11/28/2003,No,,,,,,No penalty
200001912,887312,Substantiated (Charges),,,No,,,,,,
200001913,878241,Substantiated (Charges),,,No,,,,,,
200001946,881127,Substantiated (Command Discipline),,,No,,,,,,
200001946,881957,Substantiated (Command Discipline),,,No,,,,,,
200002041,898298,Substantiated (Charges),,,No,,,,,,
200002050,889625,Substantiated (Charges),,05/28/2003,No,,,,,,Vacation: 5 days
200002050,891258,Substantiated (Charges),,05/28/2003,No,,,,,,
200002098,910395,Substantiated (Command Discipline),,,No,,,,,,
200002190,900053,Substantiated (Charges),,,No,,,,,,
200002392,898041,Substantiated (Charges),,,No,,,,,,
200002488,880454,Substantiated (Charges),,,No,,,,,,
200002493,905496,Substantiated (Charges),,,No,,,,,,
200002499,908919,Substantiated (Charges),,,No,,,,,,
200002629,920457,Substantiated (Command Discipline),,,No,,,,,,
200002734,906074,Substantiated (Charges),,,No,,,,,,
200002790,919278,Substantiated (Charges),,,No,,,,,,
200002797,922588,Substantiated (Charges),,01/28/2003,No,,,,,,
200002804,894446,Substantiated (Command Discipline),,,No,,,,,,
200002861,909173,Substantiated (Charges),,,No,,,,,,
200002877,886296,Substantiated (Charges),,,No,,,,,,
200002942,922635,Substantiated (Command Discipline),,,No,,,,,,
200002997,890624,Substantiated (Command Discipline),,,No,,,,,,
200002997,895653,Substantiated (Command Discipline),,,No,,,,,,
200002997,905326,Substantiated (Command Discipline),,,No,,,,,,
200002997,906747,Substantiated (Command Discipline),,,No,,,,,,
200002997,914841,Substantiated (Command Discipline),,,No,,,,,,
200003024,915470,Substantiated (Charges),,11/28/2003,No,,,,,,Vacation: 15 days
200003039,897435,Substantiated (Charges),,05/28/2003,No,,,,,,
200003039,902892,Substantiated (Charges),,05/28/2003,No,,,,,,
200003082,906267,Substantiated (Charges),,,No,,,,,,
200003084,892983,Substantiated (Charges),,,No,,,,,,
200003096,909799,Substantiated (Charges),,,No,,,,,,
200003105,916064,Substantiated (Charges),,,No,,,,,,
200003140,901196,Substantiated (Command Discipline),,,No,,,,,,
200003151,898642,Substantiated (Charges),,,No,,,,,,
200003162,902826,Substantiated (Command Discipline),,,No,,,,,,
200003220,902798,Substantiated (Charges),,10/28/2003,No,,,,,,W&A (Verbally)
200003237,905449,Substantiated (Instructions),,,No,,,,,,
200003254,894264,Substantiated (Instructions),,,No,,,,,,
200003366,918994,Substantiated (Instructions),,,No,,,,,,
200003392,917307,Substantiated (Command Discipline),,,No,,,,,,
200003415,920248,Substantiated (Charges),,,No,,,,,,
200003420,920157,Substantiated (Command Discipline),,,No,,,,,,
200003511,903653,Substantiated (Command Discipline),,,No,,,,,,
200003530,895850,Substantiated (Charges),,02/28/2003,No,,,,,,
200003530,906074,Substantiated (Charges),,02/28/2003,No,,,,,,
200003535,902660,Substantiated (Command Discipline),,,No,,,,,,
200003570,914576,Substantiated (Charges),,03/28/2003,No,,,,,,
200003646,900722,Substantiated (Command Discipline),,06/28/2003,No,,,,,,
200003646,915042,Substantiated (Command Discipline),,06/28/2003,No,,,,,,
200003690,922213,Substantiated (Charges),,,No,,,,,,
200003741,899889,Substantiated (Command Discipline),,,No,,,,,,
200003741,905234,Substantiated (Command Discipline),,,No,,,,,,
200003741,911299,Substantiated (Command Discipline),,,No,,,,,,
200003802,873256,Substantiated (Charges),,,No,,,,,,
200003842,891618,Substantiated (Charges),,01/28/2003,No,,,,,,
