ComplaintId,CaseDisposition,WebsiteDocumentFileName,ClosedDate,totalPosted,totalClosedCase,LastPublishDate
201301992,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201301992_RedactedClosingReport.pdf,06/18/2019,2642,14475,02/01/2024
201304354,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201304354_RedactedClosingReport.pdf,02/20/2015,2642,14475,02/01/2024
201304457,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201304457_RedactedClosingReport.pdf,03/03/2015,2642,14475,02/01/2024
201304734,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201304734_RedactedClosingReport.pdf,07/28/2017,2642,14475,02/01/2024
201305607,Substantiated (Formalized Training),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201305607_RedactedClosingReport.pdf,02/02/2015,2642,14475,02/01/2024
201308034,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201308034_RedactedClosingReport.pdf,03/30/2015,2642,14475,02/01/2024
201308184,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201308184_RedactedClosingReport.pdf,01/08/2015,2642,14475,02/01/2024
201308561,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201308561_RedactedClosingReport.pdf,01/30/2015,2642,14475,02/01/2024
201308590,Substantiated (Charges),https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201308590_RedactedClosingReport.pdf,01/09/2015,2642,14475,02/01/2024
201308795,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201308795_RedactedClosingReport.pdf,01/30/2015,2642,14475,02/01/2024
201309275,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201309275_RedactedClosingReport.pdf,03/10/2015,2642,14475,02/01/2024
201309734,Unsubstantiated,https://www1.nyc.gov/assets/ccrb/downloads/pdf/closing-reports/201309734_RedactedClosingReport.pdf,02/17/2015,2642,14475,02/01/2024
